Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-09T13:39:52.499Z","On-Demand","claude-4.5-sonnet","No","147991","126331","1066875","2789","1343986","0.97"
"2025-10-09T09:26:16.786Z","On-Demand","claude-4.5-sonnet","No","131106","123674","1989750","10006","2254536","1.38"
"2025-10-09T08:00:13.547Z","On-Demand","claude-4.5-sonnet","No","141845","84159","574310","5435","805749","0.83"
"2025-10-09T07:49:52.308Z","On-Demand","claude-4.5-sonnet","No","130642","77549","948363","3353","1159907","0.87"
"2025-10-09T07:42:22.944Z","Errored, Not Charged","claude-4.5-sonnet","No","121446","61008","1093547","4532","1280533","0.88"
"2025-10-09T07:38:22.599Z","On-Demand","claude-4.5-sonnet","No","108812","79268","134495","1203","323778","0.47"
"2025-10-09T07:37:24.419Z","On-Demand","claude-4.5-sonnet","No","102545","60539","1095443","3458","1261985","0.80"
"2025-10-09T07:18:29.373Z","On-Demand","claude-4.5-sonnet","No","93226","52172","684180","3717","833295","0.65"
"2025-10-09T00:27:25.180Z","On-Demand","claude-4.5-sonnet","No","7334","47091","621036","1849","677310","0.28"
"2025-10-09T00:27:13.191Z","Errored, Not Charged","claude-4.5-sonnet","No","75881","38583","9230","239","123933","0.30"
"2025-10-09T00:19:24.609Z","On-Demand","claude-4.5-sonnet","No","106295","80570","1060764","3776","1251405","0.80"
"2025-10-09T00:10:37.891Z","On-Demand","claude-4.5-sonnet","No","1959","40142","168625","373","211099","0.08"
"2025-10-09T00:09:58.349Z","Errored, Not Charged","claude-4.5-sonnet","No","4488","38060","243043","1097","286688","0.12"
"2025-10-09T00:07:52.977Z","On-Demand","claude-4.5-sonnet","No","10669","76989","926043","6951","1020652","0.43"
"2025-10-09T00:06:11.920Z","On-Demand","claude-4.5-sonnet","No","3256","36295","310694","1031","351276","0.14"
"2025-10-09T00:05:24.982Z","On-Demand","claude-4.5-sonnet","No","66865","32111","236036","915","335927","0.35"
"2025-10-09T00:00:41.353Z","On-Demand","claude-4.5-sonnet","No","88763","72963","1005575","8400","1175701","0.81"
"2025-10-08T23:58:29.858Z","On-Demand","claude-4.5-sonnet","No","61168","55700","1210082","20181","1347131","1.00"
"2025-10-08T23:48:51.316Z","On-Demand","claude-4.5-sonnet","No","34795","36903","472045","7959","551702","0.47"
"2025-10-08T23:41:21.986Z","On-Demand","claude-4.5-sonnet","No","71140","57656","89736","2129","220661","0.35"
"2025-10-08T23:02:53.682Z","On-Demand","claude-4.5-sonnet","No","282496","122767","617952","6130","1029345","1.40"
